name,ctype,csubtype,contract,address,all_categories
Dusted,Consumer,Social,default,0x18c9534dfe16a0314b66395f48549716fff9aa66,Consumer::Social
Fantasy Top,Consumer,Social,market,0x04edb399cc24a95672bf9b880ee550de0b2d0b1e,Consumer::Social
Fantasy Top,Consumer,Social,unknown1,0xfa4d5a9cea2822ba08d0266f121011ac527ced64,Consumer::Social
Fantasy Top,Consumer,Social,unknown2,0xdcf3c00e9f8a2fdaaf19fe59050e80c433b509dc,Consumer::Social
Fantasy Top,Consumer,Social,unknown3,0x89e4a70de5f2ae468b18b6b6300b249387f9adf0,Consumer::Social
Moseiki,Consumer,Social,Handle,0x0d8c559e312ddf19e4f60a47db0877bbe30b6b30,Consumer::Social
Moseiki,Consumer,Social,PostMint,0x4ddd439f6256e293e3814f820bbb1276dd5f4cae,Consumer::Social
Opals,Consumer,Social,Factory,0x73d1aaa8590739c98b3567dc5872963032c99987,Consumer::Social
Talentum,Consumer,Social,PayRoll,0xd646ed71b83ae652e5c77b1a981fc1bcebcf1533,Consumer::Social
Talentum,Consumer,Social,StakingTokens,0x9b26aa304e7a4b09e6cf5fd5681b19abda1355b6,Consumer::Social
Talentum,Consumer,Social,DailyActivities,0xcbe623d259261ffa0cfaff44484bff46c1b7d6c2,Consumer::Social
Talentum,Consumer,Social,StakingMON,0xc803d3cbe1b4811442a4502153685a235ea90741,Consumer::Social
X-Mail,Consumer,Social,Main,0xf093c9066857bec2ea2e19d88ca5a117dbdeed8c,Consumer::Social
sidekick,Consumer,Social,unknown0,0x6d9063949b39b95bf24953e22884deab92dfe196,Consumer::Social
sidekick,Consumer,Social,unknown1,0xf84e39e7d27e446d31cb253d7d37940c61991819,Consumer::Social
Bima,DeFi,Asset Issuers,BimaWrappedCollateralFactory,0x7adaf14c8e26564de61bdfcd0d4448db02f7b72d,DeFi::Asset Issuers
Bima,DeFi,Asset Issuers,BimaCore,0x3175c8e8c107c34d69d6884e1cc9c240b227db06,DeFi::Asset Issuers
Bima,DeFi,Asset Issuers,PriceFeed,0x9a64371655872b16395342b0c7a27c16d9eac78e,DeFi::Asset Issuers
Bima,DeFi,Asset Issuers,GasPool,0xb50b156c2f9418de5c38ca9070ef2c3fa5e1afa2,DeFi::Asset Issuers
Bima,DeFi,Asset Issuers,SortedTroves,0xa385c1494f7540cf3e6e35c0fbccab2fa6696c9c,DeFi::Asset Issuers
